time,anom,esst_avg,mod,observed
2001.832877,1.802399945,-0.073380429,24.21704616,26.01944611
2001.915068,-0.717638369,-0.073380429,20.81703538,20.09939701
2002,-0.913660626,-0.073380429,18.30424399,17.39058336
2002.084932,-0.773984241,-0.073380429,17.35237853,16.57839429
2002.161644,-0.215833866,-0.073380429,18.21678555,18.00095168
2002.246575,0.071679975,-0.073380429,20.6665984,20.73827837
2002.328767,-0.284077493,-0.073380429,24.04563107,23.76155358
2002.413699,-0.57997844,-0.073380429,27.44903248,26.86905404
2002.49589,-0.776626184,-0.073380429,29.96521449,29.18858831
2002.580822,-0.506630494,0.553927251,30.92052615,30.41389566
2002.665753,0.990662168,0.553927251,30.05939859,31.05006076
2002.747945,0.398336636,0.553927251,27.61297636,28.011313
2002.832877,0.281816063,0.553927251,24.23733431,24.51915037
2002.915068,0.801859679,0.553927251,20.83732352,21.6391832
2003,1.264433882,0.553927251,18.32453213,19.58896601
2003.084932,2.433913957,0.553927251,17.37266667,19.80658063
2003.161644,1.536201632,0.553927251,18.23707369,19.77327532
2003.246575,-0.141944897,0.553927251,20.68688654,20.54494164
2003.328767,-0.107964585,0.553927251,24.06591921,23.95795463
2003.413699,0.305776458,0.553927251,27.46932062,27.77509708
2003.49589,-0.609333486,0.553927251,29.98550264,29.37616915
2003.580822,0.001665514,-0.073879742,30.9408143,30.94247981
2003.665753,0.279874666,-0.073879742,30.07968673,30.3595614
2003.747945,1.095139435,-0.073879742,27.63326451,28.72840394
2003.832877,-0.513838269,-0.073879742,24.25762245,23.74378418
2003.915068,-2.529252173,-0.073879742,20.85761166,18.32835949
2004,-1.16974707,-0.073879742,18.34482027,17.1750732
2004.084699,-0.262285297,-0.073879742,17.39295011,17.13066481
2004.163934,0.689422279,-0.073879742,18.2574083,18.94683058
2004.248634,-0.369716883,-0.073879742,20.70721644,20.33749956
2004.330601,0.902980285,-0.073879742,24.08624456,24.98922485
2004.415301,0.719352006,-0.073879742,27.48964126,28.20899327
2004.497268,0.269848599,-0.073879742,30.00581872,30.27566732
2004.581967,0.324189517,0.110406056,30.96112567,31.28531519
2004.666667,0.219592786,0.110406056,30.0999934,30.31958619
2004.748634,0.683663651,0.110406056,27.65356662,28.33723027
2004.833333,-0.148605445,0.110406056,24.27791985,24.12931441
2004.915301,-1.437112083,0.110406056,20.87790451,19.44079243
2005,0.418056718,0.110406056,18.36510841,18.78316513
2005.084932,1.525896963,0.110406056,17.41324296,18.93913992
2005.161644,1.168574118,0.110406056,18.27764997,19.44622409
2005.246575,-0.043193881,0.110406056,20.72746282,20.68426894
2005.328767,-0.284126189,0.110406056,24.1064955,23.82236931
2005.413699,-0.487938076,0.110406056,27.50989691,27.02195883
2005.49589,-0.614125409,0.110406056,30.02607892,29.41195351
2005.580822,-0.066509079,-0.267526089,30.98139058,30.9148815
2005.665753,0.903846472,-0.267526089,30.12026302,31.02410949
2005.747945,-0.140346709,-0.267526089,27.67384079,27.53349408
2005.832877,-1.110215952,-0.267526089,24.29819873,23.18798278
2005.915068,-2.922645406,-0.267526089,20.89818795,17.97554254
2006,-1.224215684,-0.267526089,18.38539655,17.16118087
2006.084932,-0.064993839,-0.267526089,17.4335311,17.36853726
2006.161644,-0.435007623,-0.267526089,18.29793811,17.86293049
2006.246575,-0.791478323,-0.267526089,20.74775096,19.95627264
2006.328767,0.517632519,-0.267526089,24.12678364,24.64441616
2006.413699,0.963333682,-0.267526089,27.53018505,28.49351873
2006.49589,1.160286879,-0.267526089,30.04636706,31.20665394
2006.580822,0.245372359,0.030284602,31.00167872,31.24705108
2006.665753,0.18133109,0.030284602,30.14055116,30.32188225
2006.747945,0.987343739,0.030284602,27.69412893,28.68147267
2006.832877,0.652801106,0.030284602,24.31848687,24.97128798
2006.915068,-0.849816778,0.030284602,20.91847609,20.06865931
2007,-0.885733336,0.030284602,18.4056847,17.51995136
2007.084932,0.495986259,0.030284602,17.45381924,17.9498055
2007.161644,0.899041235,0.030284602,18.31822626,19.21726749
2007.246575,-0.282712175,0.030284602,20.7680391,20.48532693
2007.328767,-0.182177363,0.030284602,24.14707178,23.96489442
2007.413699,0.05805116,0.030284602,27.55047319,27.60852435
2007.49589,-0.956072073,0.030284602,30.0666552,29.11058313
2007.580822,-0.424403023,-1.05551844,31.02196686,30.59756384
2007.665753,-0.056806292,-1.05551844,30.1608393,30.10403301
2007.747945,-1.166926693,-1.05551844,27.71441707,26.54749038
2007.832877,-0.461845526,-1.05551844,24.33877502,23.87692949
2007.915068,-2.74747145,-1.05551844,20.93876423,18.19129278
2008,-2.312442388,-1.05551844,18.42597284,16.11353045
2008.084699,-1.173323375,-1.05551844,17.47410267,16.3007793
2008.163934,-0.801211789,-1.05551844,18.33856087,17.53734908
2008.248634,-0.709431071,-1.05551844,20.78836901,20.07893794
2008.330601,-1.158391242,-1.05551844,24.16739713,23.00900589
2008.415301,-1.206733351,-1.05551844,27.57079383,26.36406048
2008.497268,-0.447235079,-1.05551844,30.08697129,29.63973621
2008.581967,-0.492319451,-0.062282458,31.04227824,30.54995879
2008.666667,0.536488859,-0.062282458,30.18114597,30.71763483
2008.748634,0.204101883,-0.062282458,27.73471919,27.93882107
2008.833333,-0.245748972,-0.062282458,24.35907242,24.11332345
2008.915301,-0.88816915,-0.062282458,20.95905708,20.07088793
2009,-0.86597439,-0.062282458,18.44626098,17.58028659
2009.084932,0.208763066,-0.062282458,17.49439552,17.70315859
2009.161644,0.365008891,-0.062282458,18.35880254,18.72381143
2009.246575,-1.186369019,-0.062282458,20.80861539,19.62224637
2009.328767,1.009538624,-0.062282458,24.18764807,25.19718669
2009.413699,0.264944267,-0.062282458,27.59104947,27.85599374
2009.49589,0.342345903,-0.062282458,30.10723149,30.44957739
2009.580822,0.542442763,0.341644915,31.06254315,31.60498591
2009.665753,0.357167795,0.341644915,30.20141559,30.55858338
2009.747945,0.327855593,0.341644915,27.75499336,28.08284895
2009.832877,0.07570942,0.341644915,24.3793513,24.45506072
2009.915068,0.206991326,0.341644915,20.97934051,21.18633184
2010,0.985399409,0.341644915,18.46654912,19.45194853
2010.084932,2.629011654,0.341644915,17.51468367,20.14369532
2010.161644,0.946856599,0.341644915,18.37909068,19.32594728
2010.246575,0.189437979,0.341644915,20.82890353,21.01834151
2010.328767,-0.919390298,0.341644915,24.20793621,23.28854591
2010.413699,-0.538654875,0.341644915,27.61133762,27.07268274
2010.49589,-0.703088379,0.341644915,30.12751963,29.42443125
2010.580822,0.278802321,-0.741243056,31.08283129,31.36163361
2010.665753,0.886877013,-0.741243056,30.22170373,31.10858074
2010.747945,-0.164967939,-0.741243056,27.7752815,27.61031356
2010.832877,-2.293281412,-0.741243056,24.39963944,22.10635803
2010.915068,-2.350842936,-0.741243056,20.99962866,18.64878572
2011,-1.612745323,-0.741243056,18.48683726,16.87409194
2011.084932,-1.430263028,-0.741243056,17.53497181,16.10470878
2011.161644,-0.505091053,-0.741243056,18.39937882,17.89428777
2011.246575,-0.305465902,-0.741243056,20.84919167,20.54372577
2011.328767,-1.601904,-0.741243056,24.22822435,22.62632035
2011.413699,-0.192049277,-0.741243056,27.63162576,27.43957648
2011.49589,0.396014869,-0.741243056,30.14780777,30.54382264
2011.580822,0.143634819,-0.662633343,31.10311943,31.24675425
2011.665753,1.107097561,-0.662633343,30.24199187,31.34908943
2011.747945,0.509381229,-0.662633343,27.79556964,28.30495087
2011.832877,-2.466693294,-0.662633343,24.41992758,21.95323429
2011.915068,-3.371932898,-0.662633343,21.0199168,17.6479839
2012,-1.719320195,-0.662633343,18.50712541,16.78780521
2012.084699,-0.314361992,-0.662633343,17.55525524,17.24089325
2012.163934,-0.720445347,-0.662633343,18.41971344,17.69926809
2012.248634,-1.126595788,-0.662633343,20.86952158,19.74292579
